sentence,nsubj,root,root_idx,nsubj_idx,best_layer,best_head,attention_value
O iki kişinin sıcaklığını kimse veremez onların yanında duyulan güven kimsenin yanında duyulamaz .,kimse,veremez,5,4,4,0,0.9982395172119141
Burada fiziksel enerji ve kuvvetli zihinsel fakülteler yan yana gelecektir gelecek tir .,enerji,yan,8,2,6,11,0.3746565580368042
"Bu arada 1999 yılının üçüncü üç aylık dönemine ilişkin harcamalar yöntemiyle hesaplanan GSYİH sonuçlarına göre , sabit fiyatlarla özel nihai tüketim harcamalarında yüzde 2 .9 , gayri safi sabit sermaye oluşumunda ise yüzde 11.9'luk azalma oldu .",azalma,oldu,43,42,4,0,0.9997804760932922
- Bir defa da sen idare etseydin .,sen,idare,5,4,4,0,0.9995145797729492
Yine de siz abartılı bulun bu fanteziyi .,siz,bulun,4,2,7,8,0.9023957848548889
"Ortanca gelin , kaynanasının bu sözlerine kulak asmadı .",gelin,kulak,10,3,10,3,0.7451023459434509
- Doktor ne dedi ?,Doktor,dedi,3,1,10,11,0.7290953397750854
Firdevs Meydanı'ndaki Saddam heykeli devrildi .,heykeli,devrildi,8,7,4,0,0.9993507266044617
""" Piyano ile anlat bakalım , bugün sokakta neler gördün ? "" Ben de piyanoda "" arabalar gördüm "" derdim .",Ben,derdim,21,13,3,0,0.5656066536903381
O da beni duymuyor ve ...,O,duymuyor,3,0,5,6,0.9937928915023804
Annem gelmedi .,Annem,gelmedi,1,0,4,0,0.9999531507492065
"Anlamazsa NATO eyleme geçmeye hazır "" dedi .",NATO,dedi,8,3,10,11,0.9926823973655701
"Bu yıl size tatlı öyküler , sıcak masallar , sevgi dolu şiirler getirdim .",sevgi,getirdim,13,10,5,3,0.22083334624767303
Daha da ne olacağı belli değil .,ne,belli,4,2,8,4,0.5734567642211914
Bu burcun erkekleri biraz havaidirler havai dirler .,erkekleri,havai,8,3,10,11,0.48621493577957153
Valla öyle korkan bir halleri yoktu yok tu .,halleri,yok,6,5,4,0,0.9999043941497803
Ama benim kafamda sorular var .,sorular,var,4,3,4,0,0.9999713897705078
Her yer teneke kutularla dolu .,yer,dolu,6,1,8,1,0.994813084602356
Herşeyden önce yemekte taze fesleğen kullanma fikri insanlara inanılmaz garip geliyordu .,fikri,garip,13,10,4,7,0.9103500247001648
"Ortada bir toplum varsa , insanların karşılıklı saygı çerçevesi içinde birbirlerine eleştiri de olmalıdır .",toplum,varsa,4,3,4,1,0.9998743534088135
Şu an bile birden silkinip uyanmayacağımızı kim iddia edebilir !,kim,edebilir,12,10,7,10,0.9961985945701599
"Eğer et yağlıysa yağlı ysa hiç yağ koymadan , eğer yağsızsa yağsız sa içine yağ ekleyerek kendi suyuyla kavurun .",et,kavurun,23,1,9,10,0.3025320768356323
Hürriyet'te diplomasi muhabiri oldu .,muhabiri,oldu,5,4,4,0,0.9999992847442627
"Bu da zaman ister , emek ister .",Bu,ister,3,0,5,8,0.999193012714386
""" Hayır , ben masal istiyorum ! """,ben,istiyorum,5,3,4,7,0.73676997423172
"Ben , kendi hesabıma , bir denizin kenarında elimde bir rakı bardağı ve yanımda Isabelle Adjani ile oturduğumda mutlu oluyorum .",Ben,oluyorum,25,0,5,6,0.996709942817688
"Ben yol bilmem , iz bilmem .",Ben,bilmem,2,0,5,6,0.987066924571991
"Toplumun bu kadar açlık , işsizlik , eşitsizlik gibi sorunu varken var ken .",sorunu,var,11,10,4,0,0.9957833290100098
Bu eylem kent insanının kültürel gelişiminin doruklarına varmasının bir göstergesi kabul edilir .,eylem,kabul,12,1,11,6,0.6015373468399048
Babasının el yazısıyla yazılmış küçük bir kitap duruyormuş duruyor muş içinde .,kitap,duruyor,9,8,4,1,0.9994175434112549
"Henry gibi hükümranlığını ve krallığın cakasını en pervasızca , en şımarıkça yaşamış bir kral bile Katolik karısı Catherine ile sevgilisi Anne Boleyn arasındaki arasında ki savaşta sıkışıp yeni bir din icat etmek ve bütün memleketin dinini değiştirip yıllarca bitmeyecek kanlı bir din savaşının başlamasına neden olmak zorunda kalır .",Anne,zorunda,62,33,6,4,0.1090238019824028
"Dedim ya , taraftar - yazarların yazdıklarından tribünlerin "" ruhsuz ibne""sine sıçramak hiç zor değildir .",taraftar,zor,21,4,7,4,0.1410510390996933
3'ün başına gelenlerin benim başıma da gelmemesi için insanlardan saklanmak zorunda olduğumu biliyordum .,gelenlerin,biliyordum,15,4,10,11,0.4838835299015045
"Yakınma konusu olan bir başka sorun , giyimle ilgiliydi ilgili ydi .",sorun,ilgili,12,6,5,2,0.46652689576148987
Hipotiroidizme yol açan guatr vakalarında mutlaka tiroid hormonu verilmesi gereklidir gerekli dir .,hormonu,gerekli,17,15,2,11,0.32803940773010254
"Hepsi de esmer , karıştırırım "" diyor .",Hepsi,diyor,7,0,5,6,0.9895381927490234
Konu komşusu severdi sever di hani .,Konu,sever,2,0,5,6,0.9953781366348267
"- Kurusun , bu senin , dedi yanındaki küçük kıza .",bu,dedi,7,4,7,7,0.4769481420516968
"İlkelliği içinde , o an tüm yetkiler elinde .",yetkiler,elinde,9,8,4,0,0.9988045692443848
"Ancak kafam ve gözüm hâlâ telefonda , bir kez daha açıyorum .",kafam,telefonda,5,1,9,4,0.8028507232666016
Ya da ikinci şekildeki şekilde ki gibi bu tahta çubuğa yanlamasına bir tahta eklenir .,tahta,eklenir,15,8,11,10,0.6914986371994019
""" Kızım sen deli misin .",sen,deli,3,2,4,1,0.9989424347877502
"Zaten felsefe de bunu gerektirmez mi ? Kahvehaneden , internet kafeye akmış güruhu ise ayrı tutarım .",felsefe,gerektirmez,4,1,10,0,0.7924156785011292
Senin yaptığına abesle iştigal denebilir örneğin .,Senin,denebilir,7,0,6,7,0.9770368933677673
Musa'yı durduran Emevi halifesi ve yakınlarının haklı bir sebepleri var mıydı acaba ?,sebepleri,var,15,14,4,1,0.9999171495437622
İçme suyu yoktu yok tu .,suyu,yok,3,2,4,0,0.9999951124191284
Yarın Paris'in ünlü Bercy Salonu'nda başlayacak Final Four'da temsilcimizin önünde yine aynı engel var : Panathinaikos .,engel,var,22,21,4,1,0.9998205304145813
1. Sizce insanlar niçin hayal kurarlar ?,insanlar,hayal,5,3,7,8,0.9960934519767761
"Kazanmayı isteyen herkes , Aslan ile çalışmak için özel çaba sarf etmelidir etmeli dir .",herkes,sarf,11,3,7,10,0.764781653881073
Açık ve güçlü bir karşı çıkışa gerek var .,gerek,var,8,7,4,0,0.9999943971633911
Ankara'ya gitmesi gerekiyordu .,gitmesi,gerekiyordu,4,3,4,0,0.9999221563339233
""" Dinlenmen gerek , durumun iyi değil "" diyordu bana .",durumun,diyordu,10,6,9,4,0.29996585845947266
Bütün bunlar gerçeklere ne kadar uyuyor ?,bunlar,uyuyor,6,1,10,7,0.7748655676841736
Mustafa Kemal de Corinne Lütfü'yü başsağlığı için ziyaret eder ve şu sözlerle teselli etmeye çalışır :,Mustafa,ziyaret,12,0,5,6,0.9960922598838806
B Grubu'ndaki mücadelede ise grup lideri G .,G,lideri,7,1,8,5,0.40349698066711426
"Türkiye'de o hayallerin onlarca yıl gerisinde yaşayan kentler , kasabalar ve insanlar vardır var dır .",kentler,var,16,10,10,0,0.6048654317855835
Olay bundan ibaret .,Olay,ibaret,2,0,5,8,0.9992401599884033
- Geçmişyaşamdaki Geçmiş yaşamda ki arkadaşlarından hayatta olan var mı ?,olan,var,10,9,4,0,0.9997918009757996
Bu durumda olan insanlar bile mutlu olabiliyor .,insanlar,olabiliyor,6,3,7,8,0.7133576273918152
"Devlet sırrı niteliğini taşıyan bilgi ve belgeler , Başbakan'ın başkanlığında oluşturulacak kurul tarafından belirlenecek .",bilgi,belirlenecek,15,4,9,8,0.36775949597358704
Irak'ta birçok PKK kampına biz girdik .,biz,girdik,7,6,4,0,0.9540849924087524
"Program , Arthur Honegger'in üçnumaralı "" Litürjik "" senfonisiyle sona erecek .",Program,sona,20,0,5,8,0.9952652454376221
Hatta bunun böyle olması gerektiği bile pek bilinmiyor .,bunun,bilinmiyor,7,1,11,4,0.266361802816391
Yeni iki dil öğrenmek ufkumun her gün biraz daha açıldığını fark etmek öncelikle kişisel gelişimim acısından muhteşem bir olaydı olay dı .,fark,olay,21,11,5,0,0.11447397619485855
Öte yandan Milli Birlik Komitesi'nin en genç üyelerinden Numan Esin de benim askerlik dersi hocam .,Numan,hocam,16,10,11,0,0.439697265625
""" Ben Gediz Akdeniz'in doktora öğrencisiyim "" dedi .",Ben,dedi,9,1,5,11,0.31811660528182983
Tiyatro gişesinde telefonlar durmak bilmiyor .,telefonlar,bilmiyor,5,3,10,0,0.7776781320571899
Sayın Başbakan'ın ifadesi ile 36 tane etnik grup var .,grup,var,10,9,4,0,0.9999988079071045
"Babam , koltuğa oturdu .",Babam,oturdu,3,0,5,8,0.9937805533409119
"İlaç firmalarının kendisine büyük bir rüşvet teklifi karşısında , müsteşarına : "" Sen ne dersin , tarihe mi geçeyim , yoksa yok sa köşeyi mi döneyim ? "" diye sormasından da anlaşılacağı üzere , ekstrovert , yani dışa dönük bir kişiliğe sahipti .",Sen,sahipti,50,14,6,5,0.13866321742534637
Güzel konuşan kimseleri vardır var dır .,kimseleri,var,3,2,4,0,0.9999998807907104
Onur Bağı'm olan kent .,Onur,kent,5,0,5,6,0.9997971653938293
"O , daha dün ortaya çıktı .",O,ortaya,4,0,5,0,0.9640468955039978
Ben de kendimce sınamak istedim bunu .,Ben,istedim,6,0,5,6,0.9982781410217285
"Meram'da binlerce bağ evi ve kulübeler , cami , mescit , han , hamam , çarşı ve pazaryeri vardır var dır .",evi,var,23,6,8,2,0.29608017206192017
Beni duymanıza gerek yok .,gerek,yok,4,3,4,0,0.9825837016105652
Uçağa yüklenen ve uçuş sonunda artan kullanılabilir tüm malzemeler sayılarak kabin amirine bildirilir .,malzemeler,bildirilir,15,9,10,0,0.41160672903060913
- Bu nedir ne dir ?,Bu,ne,2,1,4,0,0.9999949932098389
Peki kim bu küçük ve basit sebepleri devleştirerek aramıza sokup duruyor ?,kim,sokup,10,1,7,8,0.9414994120597839
Tapınakta panik var,panik,var,4,3,4,1,0.9999532699584961
"Moby Dick'e aldığım sarı boya inceltmek için ne gaz , ne benzin , hiçbir şey kabul etmiyordu etmiyor du .",boya,kabul,22,9,4,11,0.1194484531879425
"O , öncelikle çok büyük bir asker ve komutandır .",O,asker,6,0,5,6,0.9986739158630371
"Ne kadar düşünürsem düşünür sem düşüneyim , televizyonda izlediklerimden başka bir fikir gelmiyor aklıma .",fikir,gelmiyor,15,14,4,0,0.9999810457229614
Onu tutacak kimse yok ki !,kimse,yok,3,2,4,0,0.9998263716697693
"Ve işte o , beni kahreden , somurtganlaştıran , saatlerce ağlatan , gözyaşlarıyla dolu ...",o,dolu,19,2,7,8,0.5100750923156738
"Her ülkede hem çalışıp , hem de okuyanlar vardır var dır .",okuyanlar,var,8,7,4,0,0.9999961853027344
İşte ben buna iletişim diyorum .,ben,diyorum,4,1,4,7,0.5748305916786194
"Gazetenin sahibi Mehmet Ali Yılmaz'a , "" Davos'a beraber gidelim , "" dedim .",Mehmet,dedim,18,3,10,2,0.21231570839881897
Budapeşte Tren istasyonu yorgun .,istasyonu,yorgun,5,4,4,0,0.9999974966049194
Sel sularında neler yoktu yok tu ki ...,neler,yok,3,2,4,0,0.9998663663864136
"Aziz , deli gibi çalışkan , güçlü kuvvetli , pes etmeyen cinsten .",Aziz,cinsten,11,0,8,8,0.9252176284790039
"Akşam Jan Bey uğradığında bana , "" Doktorla bayağı İngilizce konuştun "" dedi .",Jan,dedi,17,1,10,8,0.8330442905426025
"Ben Zeki değil , Ekrem'im Ekrem 'im . """,Ben,Zeki,1,0,4,0,0.9999994039535522
"Özellikle eğitimsiz , kendi çıkarını bilmeyen ya da bilir gözükmeyen bu durağan toplumu harekete geçirmek için şiddetli bir deprem gerekecekti gerekecek ti .",deprem,gerekecek,22,21,4,1,0.9994914531707764
"Deniz Baykal , Cahit Kayra , Mustafa Ok , Erol Çevikçe ayrıca Doçent Özsan Uluatam ve Üstün Üstün var .",Deniz,var,23,0,5,6,0.9961971044540405
"Hiç harika bir öykünün sonuna gelip de birlikte onca serüven yaşadığı , sevip hayran olduğu , adlarına kaygılanıp umutlandığı kahramanlara veda etmek zorunda kaldığı ve onlarsız hayat kendisine boş ve anlamsız göründüğü için açıkça ya da gizlice acı gözyaşları dökmemiş biri ...",hayat,biri,49,34,4,11,0.0507175549864769
Annem akşam işten geldi .,Annem,geldi,3,0,5,6,0.9978764057159424
Onlar sizden biri değil .,Onlar,biri,2,0,5,0,0.9937605261802673
Artık üniversitede bana kadro bulunup bulunmadığını bile takip etmiyordum etmiyor dum .,kadro,takip,7,3,1,2,0.35428354144096375
Ada bu yıl 8 .,Ada,8,3,0,5,8,0.9997294545173645
"O zirveye ulaştıktan sonra , dağın başka hiçbir yeri artık onları tatmin etmez .",yeri,tatmin,12,9,8,10,0.3538975417613983
"Sen çalışansın çalışan sın , "" dedi .",Sen,dedi,7,0,5,6,0.97591632604599
"Bnet Genel Müdürü Hakan Akan da , "" Kısa vadede internet servis sağlayıcılığı alanının öncüsü olmayı , uzun vadede telekom liberalizasyonu sonrasında alternatif telekom operatörü olarak faaliyetlerimizi sürdürmeyi hedefliyoruz "" dedi .",Hakan,dedi,36,4,8,7,0.46659886837005615
""" Doyduğunuz yer "" ne oldu ?",yer,oldu,6,3,10,10,0.4763057231903076
"Bizler , eşitliğe ve demokrasiye anlamlar yükledik , özünü yaşatamadık .",Bizler,anlamlar,6,0,5,6,0.987114429473877
Guatemala'da iki kesim var .,kesim,var,8,7,4,0,0.9999762773513794
"İşte bu yüzden , Mim Sadun Ne'nin Alaska doğumlu olmasına şaşmamak gerekir .",Mim,gerekir,16,4,8,3,0.30292412638664246
Kitapları onlara uzatıp vermenize gerek yok ; sadece onlara okumalarını söyleyin .,gerek,yok,8,7,4,0,0.9997689127922058
"New Orleans'ta caz , San Francisco'da hüzün vardı var dı ...",caz,var,13,6,10,0,0.9744319319725037
Ben bu haberi okuyunca mezun olmaktan ve askere gitmekten çok korkar oldum .,Ben,korkar,11,0,5,6,0.9969050288200378
Biz oradayız orada yız .,Biz,orada,1,0,4,0,0.9991255402565002
"Ah'lara , vah'lara gerek yok .",gerek,yok,8,7,4,0,0.9999889135360718
Altıncı gününü de bitiren eylemin bu ilgisizlik yüzünden daha ne kadar süreceği ise bilinmiyor .,eylemin,bilinmiyor,16,5,10,9,0.5073665976524353
Allah böyle istemiyor .,Allah,istemiyor,2,0,8,3,0.9936853051185608
Transfer bitiyor,Transfer,bitiyor,1,0,4,0,0.9998766183853149
"Ermenistan - Türkiye maçının sabahı Erivan'da yayımlanan gazetelerden birinin vurgusu ilgi çekiciydi çekici ydi : "" Başkan Bush'tan da sıkı korunacak """,vurgusu,ilgi,15,14,4,0,0.9998588562011719
"Arılardan birisi , bir besin kaynağı bulduğunda kovana dönüp vücudunu titreterek , diğer arkadaşlarına besinin yerini tarif eder .",birisi,tarif,22,2,9,1,0.4725383222103119
Yaşadığımız sürece bu olay tekrar eder .,olay,tekrar,5,4,4,0,0.9999921321868896
Yeni ve temiz elbiseler giyilerek önceden hazırlanan yiyeceklerle birlikte mezarlığa gidilir .,elbiseler,gidilir,13,3,10,9,0.2459469437599182
"Onlar bizden kölelik değil , saygı ve emeklerinin karşılığını bekliyorlar .",Onlar,bekliyorlar,10,0,5,6,0.9896119236946106
""" Ben Türk gazetecileri ile konuşmam , "" dedi .",Ben,dedi,10,1,5,1,0.3960796594619751
Japonya'da bu zorunluluk sadece feribotlarda var .,zorunluluk,var,8,4,8,1,0.48182931542396545
Hepsi olur ...,Hepsi,olur,1,0,4,0,0.9999982118606567
"Şimdi Oprah ( Winfrey Amerikan televizyonunun en ünlü sunucusu ) sayesinde kitaplar mutlu , seksi şeyler haline geldiler , aynı rock yıldızları gibi .",kitaplar,geldiler,22,16,10,0,0.7202101349830627
Mustafa Abdülhalik Bey geldi .,Mustafa,geldi,5,0,5,6,0.9878115057945251
Arkamda annem var yalnız değilim hayatta seninle baş edebilirim .,annem,var,3,2,4,0,0.9999996423721313
"Park , hınzır bir sonbaharın keyfini çıkarıyordu çıkarıyor du ...",Park,keyfini,9,0,5,6,0.998982846736908
"- Ben çantaya neler konulacağını biliyorum , diyerek kalem , kâğıt ve ilk yardım malzemeleri getirdi .",Ben,getirdi,17,1,11,1,0.15123683214187622
Söyleyecek laf bile yok artık .,laf,yok,4,2,3,10,0.7945815324783325
Lena'dan bir sorun çıkmazsa çıkmaz sa öğleden sonra 4200'e gidiyoruz .,sorun,gidiyoruz,16,5,8,10,0.5175463557243347
haftada ise F.Bahçe'yi konuk edecek olan Trabzonspor yapacak .,Trabzonspor,yapacak,12,11,4,0,0.9817078113555908
Afganistan Devlet Başkanı Hamid Karzai'nin erkek kardeşinin Kandahar'daki Kandahar'da ki evinde patlama meydana geldi .,patlama,meydana,24,23,4,0,0.9999300241470337
Kemal Atatürk şahane bir umursamazlıkla kendi hayatını yedi bitirdi .,Kemal,yedi,9,0,5,8,0.9975388050079346
Ortalama sekiz haftalık bir tedavi uygulanacaktı uygulanacak tı .,tedavi,uygulanacak,6,5,4,0,0.9997077584266663
Yabancı Sermaye için ülkemizde yatırıma özendirici tedbirlerin daha objektif bir şekilde alınması gereklidir gerekli dir .,tedbirlerin,gerekli,13,7,3,8,0.3051922917366028
"Ya da incecik bir ses tonu ile yapılan anons sahibi , 1.90 boyunda , heybetli ve ihtişamlı biri olabilir .",sahibi,biri,20,9,7,2,0.5920671820640564
"Belçika'da yayınlanan Le Soir gazetesine göre , Tacik yetkililer , Belçika vatandaşlarını 28 yaşındaki yaşında ki Kasım Bukoli ve 34 yaşındaki yaşında ki Kerim Suzani olarak tespit ettiler ve Belçikalı yetkililere ilettiler .",yetkililer,tespit,33,11,7,8,0.9793486595153809
"Ben , ' Elbette Hasan Bey , sizin yanınızdayım yanınızda yım ' dedim .",Ben,dedim,14,0,5,6,0.9942242503166199
""" CHP , Türkiye'nin son 15 yılında yaşadığı olumsuzluklardan sorumlu değildir .",CHP,sorumlu,12,1,10,1,0.6415395140647888
"Ne korkular salmışım kim bilir ,",kim,bilir,6,5,4,0,0.999725878238678
Olimpiyat Stadı'nda son 3 sezonun Serie A şampiyonu Inter Milan'ı 2 - 1 yenen AS Roma İtalya Kupası'nın sahibi oldu .,AS,oldu,27,20,11,0,0.6418663859367371
"Erkan , Moldovan , Abdullah ve Sergen için özel programlar uygulanacak .",programlar,uygulanacak,14,13,4,0,0.9999074935913086
Her üç kişiden birinin yaşamının herhangi bir döneminde herhangi bir cinsel sorun yaşadığı tahmin ediliyor .,birinin,tahmin,13,3,9,10,0.511458694934845
Cephe içinde İslamcı ve milliyetçi gruplar birlikte temsil ediliyor .,gruplar,temsil,8,6,7,8,0.7946223616600037
"ÖİB yetkililerinin , bu durumu da önemli bir olasılık olarak değerlendirdiği ifade edildi .",yetkililerinin,ifade,13,2,9,10,0.7054524421691895
"Yoksa bu ikili ortak kararlar alamaz , ilişkilerini yönlendiremezler .",ikili,alamaz,5,2,7,8,0.44558852910995483
Bu nasıl oldu ?,Bu,oldu,2,0,5,8,0.9992475509643555
"Chat'in "" yalnız anlarını oyalamak "" gibi bir misyonu var bana göre ... "" Jar """,misyonu,var,13,12,4,1,0.9999793767929077
madde var dı ki ...,madde,var,1,0,4,0,0.9999997615814209
Bunun ortadan kaldırılmamasının bize getireceği maliyeti hesaplamak çok zor .,Bunun,zor,11,0,5,6,0.9986692667007446
"13 Haziran , tarihi bir gün olacak "" dediği belirtildi .",Haziran,belirtildi,9,1,10,11,0.6311800479888916
Kendine bunu söylediğimde her erkek gibi o da kabullenmek istemezdi istemez di kullanıldığını ...,o,istemez,12,8,5,7,0.4484727382659912
- : Talihsiz olaylar bununla da bitmedi .,olaylar,bitmedi,8,5,7,8,0.8147727251052856
Kim koydu bu kuralları ?,Kim,koydu,1,0,4,1,0.99893718957901
- Uyku apnesi sendromu nedir ?,sendromu,nedir,5,4,4,0,0.9428392648696899
"Programdan iki gün önce , odamdan içeri esmer , uzun boylu biri girdi .",biri,girdi,14,13,4,0,0.9999469518661499
"Hayat , İstanbul'da olduğundan çok daha ucuzdu ucuz du .",Hayat,ucuz,8,0,5,6,0.9998070597648621
"43 yaşındaki yaşında ki Dana , evli ve 4 çocuk babasıydı babası ydı .",Dana,evli,6,4,8,5,0.4731113612651825
"- Orada ODTÜ'nün , yani öğrencilerin dışında birtakım etkenler vardı var dı .",etkenler,var,11,10,4,0,0.9984585046768188
Kaleiçi'nin anıtsal nitelikli kültür varlıklarından biri olan Aya Yorgi ( Agios Georgios ) Kilisesi'nin yapım tarihi kesin olarak bilinmiyordu bilinmiyor du .,tarihi,bilinmiyor,32,29,10,7,0.5994549989700317
Bunlar oldu .,Bunlar,oldu,1,0,4,0,0.9985427856445312
Her yer beyaz bir bulutun içinde kaybolup giderdi gider di .,yer,gider,9,1,7,8,0.5113894939422607
"Mustafa Kemal bulunduğu ortamı tasvir ediyor , o günlerde zihnini meşgul eden fikirleri aktarıyor , yaptıklarını anlatıyor .",Mustafa,tasvir,4,0,5,6,0.9999021291732788
"Bunun üzerine bilge adam dedi ki : “ Kralım biliyorum ki , çocuk yaştan beri bizi layığıyla yönetiyorsunuz .",adam,dedi,4,3,4,0,0.9999969005584717
"Apaçık ki , 2500 yılının insanı için "" şimdiki zaman "" kalmayacak .",zaman,kalmayacak,12,10,11,5,0.6361648440361023
"Mevcut nedenler yüzünden 2008 yılında da bankalar maliyet artışlarını kredi faizlerine yansıtamayabilirler "" açıklamasında bulundu .",bankalar,bulundu,19,6,10,0,0.4961400032043457
"Onun otomobili var , benim yazlığım .",otomobili,var,2,1,4,0,0.9998213648796082
Her insan aynı şeyi düşünüp yapamaz ...,insan,yapamaz,5,1,8,3,0.999081015586853
"Öncemizdeki Öncemizde ki ve sonramızdaki sonramızda ki spikerler gibi bizler de her türlü haberi okuduk , iyisini - kötüsünü , inandığımızı - inanmadığımızı , eğrisini - doğrusunu , sevdiğimizi - sevmediğimizi ...",bizler,okuduk,21,16,7,8,0.8502400517463684
"Ee , sevinçli olunca da zaman su gibi akarmış akar mış .",zaman,akar,10,7,4,7,0.45462071895599365
"Çünkü müdür yardımcımız Osman Hoca , son derece adaletsizdi adaletsiz di .",Osman,adaletsiz,9,4,7,8,0.4597819149494171
Bu deneyim karşısında bireyin çaresizlik yaşaması ve dehşete düşmesi ve bazı özgün belirti örüntüsünü bir ay süreyle sergilemesi gerekir .,bireyin,gerekir,22,3,6,6,0.5824750065803528
Sert tedbirler için sert kanunlar gerekiyordu gerekiyor du .,kanunlar,gerekiyor,6,5,4,0,0.997660756111145
"Aksi halde bu işin sonu askerin müdahalesine kadar gidecektir . """,sonu,gidecektir,10,5,8,9,0.5152762532234192
"Tom ile Ceri mahkemede ... "" denildi .",Tom,denildi,7,0,5,6,0.9850723147392273
Üç ana '' tarz '' bu mutfağı belirler ve bugün Fransa'da her üç mutfağın da örneklerini bolca bulabilirsiniz .,tarz,belirler,7,3,6,1,0.4731001555919647
"Oysa dostluk , standartların ötesinde sohbetleri gerektirir .",dostluk,gerektirir,7,1,8,1,0.6175029873847961
