sentence,nsubj,root,nsubj_idx,root_idx,best_layer,best_head,attention_value
3 - Yusuf da Revivo ile değişerek oynayabilir veya kapalı defans yapan zayıf rakipler önünde yararlı olur .,Yusuf,oynayabilir,3,8,5,11,0.2843343913555145
""" Yılmaz Güney'i sevk ediyorlar , neresi olduğunu bilmiyoruz , bugün ziyaret yasak , "" dedi ve dediği gibi izinden dönen mahkûmları alıp gitti .",ziyaret,dedi,14,18,3,11,0.16374236345291138
Romantikte de böyle bir yan var .,yan,var,6,7,4,9,0.9999241828918457
Hoş Erdal Bey de üzgündü üzgün dü :,Erdal,üzgün,2,5,0,11,0.24621380865573883
Kimisi kot pantolonunu giymiş .,Kimisi,giymiş,1,4,7,3,0.7176859974861145
"Alkolün bir tanımlaması da şudur şu dur : "" Yiğidi susturur ama korkağı coşturur ."" Yani şişede durduğu gibi durmaz .",tanımlaması,şu,4,7,4,0,0.25040578842163086
Çoğu insan yetişkinliğe erişince her şeyi biliyorum edasına kapılır .,insan,kapılır,2,12,5,11,0.45396167039871216
"İşte o anda Seyit , oturduğu yerden hızla kalktı .",Seyit,kalktı,4,9,0,6,0.2822549343109131
Mesela bir iş yaparken biri başımda dikilince uyuz olurum .,biri,uyuz,5,9,9,6,0.17564940452575684
Ablam söylediklerime hiç aldırış etmeden gitti .,Ablam,gitti,1,7,1,8,0.6242432594299316
"O , kişisel ve günlük siyaset yerine her zaman uzun vadeli düşünen , siyaseti halkın yaşamını iyileştirmek , adaletli bir toplum ve dünya yaratmak olarak anlayan bir siyasetçiydi siyasetçi ydi .",O,siyasetçi,1,28,9,9,0.4232475459575653
"İran'a yönelen Timur , Maraga , Rey ve Isfahan üzerine yürüdü .",Timur,yürüdü,5,16,7,3,0.30412551760673523
"Üstelik o , ilim gibi bir hazineyi , küfrün ve zulmün hizmetine sunarak en büyük cinayeti işlemiştir işlemiş tir .",o,işlemiş,2,18,7,3,0.2601419687271118
"Onlar bakıyorlar , gözlerini bana dikiyorlar",Onlar,bakıyorlar,1,2,4,9,0.9977439641952515
"Abone , kendisine verilen yeni SIM kartını , taşıma zamanı bildirildiğinde makinesine takarak kullanmaya başlıyor .",Abone,başlıyor,1,16,3,9,0.5253865122795105
"Avusturyalıların çıkışından daha önce haberim olduğunu , bunu sadece kendi mecmualarında değil , diğer dağcılık mecmualarında da okuduğumu , fakat bu çıkışın kış çıkışı olarak sayılamayacağını belirttim .",çıkışın,belirttim,27,33,5,8,0.12058549374341965
Zekeriya Sertel'e Bekir Ağa Bölüğü'nün kapılarını İstanbul'daki işgal kuvvetlerinden İngiliz polisi açmıştı açmış tı .,polisi,açmış,17,19,5,9,0.3453236520290375
Konumuz varsa var sa başlayalım mı artık ?,Konumuz,başlayalım,1,5,0,1,0.3962906002998352
Aslan erkeği gibi o da sosyal ve arkadaşlar arasında hoş sohbetleri sever .,o,sever,4,12,7,3,0.28679442405700684
Başka bir krize neden olan MGK toplantısı ise sadece 30 dakika sürmüştü sürmüş tü .,toplantısı,sürmüş,7,13,8,11,0.442064493894577
Terazi eyleme geçmekten korkmaz .,Terazi,korkmaz,1,4,7,3,0.5851935148239136
Türk altın mücevherat ithalatında birinci sırada olan ABD'nin 2001 toplam altın mücevherat ithalatı ise 4 milyar 705 milyon dolar .,ithalatı,dolar,17,23,4,0,0.6869388818740845
IMF KÖPRÜNÜN SATIŞINI İSTİYOR,IMF,İSTİYOR,1,6,7,3,0.5756303668022156
Her gün insanlar kalkmadan önce her yeri aydınlatıp ısıtmaktan bıkmıştı bıkmış tı .,insanlar,bıkmış,3,12,7,8,0.16181820631027222
Fakat ona etki eden duygusal tepkime sonucu nefes faktörünün devreye girmesidir girmesi dir .,faktörünün,devreye,9,10,4,9,0.9996298551559448
"Artık bilim adamları , karanlık enerjinin varlığını doğrulamaya çalışmıyor ; artık bu gizemli maddeyi oluşturan yapıları ve enerjinin , evrenin doğuşu ve gelişimi hakkında bize neler söyleyeceklerini bulmaya çalışıyor .",adamları,çalışmıyor,3,10,4,0,0.3230663537979126
Bunları talep etsek bizi tımarhaneye atarlar .,talep,atarlar,2,7,5,6,0.2616148591041565
Sonradan üne kavuşan Dario Moreno ve yabancı atraksiyon grupları Gar Gazinosu'nda program yaparlardı yaparlar dı .,Dario,yaparlar,4,17,0,11,0.12407302856445312
"2 Si bemol minör Sonat""ını piyanist Ferdi Statzer çalacaktı çalacak tı .",piyanist,çalacak,10,14,1,3,0.8209760785102844
Bakın üç banka battı .,banka,battı,3,4,3,0,0.9999216794967651
Yukarıdan görülebilen yer bölümünün hiçbir noktasında hattâ yeşile yakın bile olsun canlı bir renk görülmez .,renk,görülmez,14,15,3,0,0.9999418258666992
"Meral ve Yavuzer Çetinkaya , Ahmet Gülhan katılmıştı katılmış tı önemli rollere .",Meral,katılmış,1,10,3,9,0.11148116737604141
"Fin - Türk Kültür Derneği , onun onuruna yemek verdi .",Derneği,verdi,5,10,3,9,0.32837122678756714
Chat benim için kendimi ifade etmektir etmek tir ...,Chat,ifade,1,5,7,10,0.5419681668281555
"O zaman her dönemin gerçeği , zamanımızda da oluşmak üzeredir üzere dir .",gerçeği,üzere,5,12,4,0,0.2415587306022644
ARGE faaliyetleri sonucu yaratılan tahmini katma değer >60 milyon dolar civarında .,değer,civarında,7,12,8,11,0.26148974895477295
Benim çok yoğun bir reel hayatım ve sorumluluklarım var .,hayatım,var,6,10,8,11,0.36874544620513916
Haşim adında ilk kez gördüğüm kurye de yeni cezaevinden çıkmış .,kurye,çıkmış,6,10,1,3,0.3635157644748688
"Anket gönderimi yönteminin en avantajlı yönü , zaman ve para tasarrufu sağlamasıdır sağlaması dır .",yönü,sağlaması,6,13,5,6,0.6318768858909607
Babası buna çok gönüllü olmamıştı olmamış tı .,Babası,gönüllü,1,4,7,3,0.5148830413818359
"Kiliseye göre Galile , İncil'e karşı geliyordu .",Galile,karşı,4,9,9,10,0.3661162555217743
İşler bitmedi ...,İşler,bitmedi,1,2,3,0,0.9974105954170227
Dönemin Tercüman gazetesinde sistemli olarak Pol - Der aleyhine bir karalama kampanyası yürütülüyordu yürütülüyor du .,kampanyası,yürütülüyor,12,13,4,9,0.9983686804771423
Ben nedense neden se hiç bir zaman oralarda kalmaya çok meraklı olmadım .,Ben,meraklı,1,11,4,3,0.1749691516160965
"Baba sevgisinden mahrum büyüyen Nevzat , kendi çocuklarına düşkünlüğünü , aileyi çok iyi bilirdi .",Nevzat,bilirdi,5,15,4,3,0.3191452622413635
"Bürokrasi , iktidarını pekiştirme sürecinde , önce gerçekçileşerek dünya devriminden vazgeçmiş ve tek ülkede sosyalizmi inşa etme yöntemi olarak ulusal kalkınma ve sanayileşme hedefini öne çıkarmış , ardından ve buna uygun olarak , milliyetçiliği Marksizmin içsel ve doğal bir unsuru olarak teorize etmiştir etmiş tir .",Bürokrasi,vazgeçmiş,1,12,4,3,0.11049007624387741
"Sarı saçlı , mavi gözlü bebekler , âdeta ona bir arkadaş gibi bakıyorlardı bakıyorlar dı .",bebekler,bakıyorlar,6,14,1,3,0.44434353709220886
"Açıklanması veya öğrenilmesi , devletin dış ilişkilerine , milli savunmasına ve milli güvenliğine zarar verebilecek , anayasal düzeni ve dış ilişkilerinde tehlike yaratabilecek ve bu nedenlerle niteliği itibarıyla gizli kalması gereken bilgi ve belgeler "" devlet sırrı "" olarak kabul edilecek .",bilgi,kabul,33,41,1,8,0.05838945508003235
Stadın ise uzun bir öyküye dönüşen talihsiz serüveni hâlâ sürmekte .,serüveni,sürmekte,8,10,4,0,0.8305318355560303
"Bir de "" Çengeli iğne , nazar bozar "" derler",iğne,derler,6,11,0,11,0.16277503967285156
Ahlar vahlar arasında neredeyse sezon daha başlamadan acınacak hale geldik .,sezon,geldik,7,12,4,3,0.45461729168891907
"Tekstil ve hazır giyimciler , dünyanın en büyük sektörel tekstil Ar - Ge merkezi olan ""Tekstilpark""ı ekimde açmayı planlıyor .",Tekstil,planlıyor,1,24,7,3,0.2790071666240692
"Nietzsche'nin dediği gibi , fiziğin bile bir dünya açıklaması olmayıp yalnızca bir dünya yorumu ve düzenlemesi olduğunu anlamak için başka bir kaynağa değil , bilim tarihine bakmak yeter .",yorumu,değil,16,25,0,10,0.09824603796005249
"Kuruluşunun 100'üncü yılını Avrupa'da ve Türkiye'de çeşitli etkinliklerle kutlayan Renault , 1998 yılını bulunduğu tüm pazarlarda atılım yılı ilan etti .",Renault,ilan,16,25,1,8,0.21990205347537994
Bu sizin en kutsal göreviniz ....,Bu,göreviniz,1,5,5,11,0.7417788505554199
Sonra başka bir şey duyamaz oldum .,şey,oldum,4,7,1,3,0.16313835978507996
Balık kendi hayal dünyasında yaşar .,Balık,yaşar,1,5,4,0,0.5425269603729248
Büyük çoğunluğu oluşturan herkesin bir kaynama noktası ve bedeli var ...,noktası,var,7,10,8,11,0.3510976731777191
"Çatlak pek geniş değildi , 80 - 90 santimetre kadardı kadar dı .",Çatlak,geniş,1,3,4,0,0.717657208442688
"Öğrenciler geliyor daha çok ."" Resim alıcılarını da sınıflandırmış .",Öğrenciler,geliyor,1,2,3,0,0.9995354413986206
Daha sonra Pol - Der'in kuruluş döneminde hukuk müşaviri olarak katkısından yararlandığımız Uğur Alacakaptan ve Adana Senatörü Hayri Öner konuştular .,Uğur,konuştular,17,25,1,8,0.08933015167713165
Ama bu yüzden bir derginin başı derde girecekti .,başı,derde,6,7,3,0,0.9997753500938416
İnsan neden ister bunu ?,İnsan,ister,1,3,5,11,0.4866202473640442
"Aynı söyleşide kendisine sınırsız olanak verilse veril se ( soru böyle ) ne yapacağına ilişkin olarak , farklı tarihsel dönemlerdeki Türk kadınını canlandırmak istediğini söylüyor .",soru,söylüyor,10,25,5,6,0.1112045869231224
Başak burcunda doğan kadın evine düşkündür düşkün dür .,kadın,düşkün,4,6,7,3,0.31991010904312134
"Okuyucuyu fazla meraklandırmadan söyliyeyim , dergimizin adı Kelime idi .",adı,Kelime,14,15,4,9,0.9995483756065369
Oynadığı 21 maçtan 17'sini kazanmayı bilen Bursa ekibi ligde kalan maçları da kazanarak Play - Off'lara zirvede girmek istiyor .,ekibi,istiyor,10,23,4,3,0.3539296090602875
Büyük ayaklarıma küçük numaralı döküntü bir spor ayakkabı hediye edildi .,spor,hediye,8,10,2,2,0.13856281340122223
"Vanilya , kahve , pirinç başlıca tarım ürünleridir ürünleri dir .",Vanilya,ürünleri,1,9,3,9,0.19256903231143951
"Travma ve kanamaya karşı , konularında anlatılan tedbirler alınır .",tedbirler,alınır,8,9,3,0,0.9984896183013916
Bunlar Hıristiyan - Alevi ve Sünni Türk - Arap Alevi kardeşliğinin yaşayan örnekleridir örnekleri dir .,Bunlar,örnekleri,1,15,7,3,0.7507926225662231
"Cafe Armani'de kapuçino içmek zorunda olduğum karşılıklı , bir adet dahi Botoks Kadını yok hayatımda .",Kadını,yok,17,18,3,0,0.9996843338012695
"Şimdi içimiz rahat ."" demişti demiş ti .",içimiz,demiş,2,7,2,7,0.26987984776496887
"Kanarya sırasıyla Kayseri , Bursa , G.Saray , Ankara , Beşiktaş , Antalya ve Trabzon'a konuk olacak .",Kanarya,konuk,1,20,5,11,0.5615019202232361
"Ancak , zamanla paralar kıyıya vurmaya başlamış .",paralar,başlamış,4,7,5,8,0.5785103440284729
"Beşiktaş Kulübü , futbol takımının eski teknik direktörü Vincete Del Bosque ve yardımcılarına Uluslararası Spor Tahkim Mahkemesi'nin tarafından verilen 6.7 milyon Euro tazminat ödeme cezasına itiraz etmek için 6 mart salı günü İsviçre'ye gidiyor .",Kulübü,gidiyor,2,41,7,3,0.5515806078910828
Karikatür bir eleştiri .,Karikatür,eleştiri,1,3,1,10,0.7267570495605469
"Bakın hele kaç "" L "" oldu kaşla göz arasında .",L,oldu,5,7,3,6,0.9112104773521423
Elim kaleme uzansa yazacak çok hikâye var .,hikâye,var,7,8,3,0,0.9998262524604797
"Herkes önündeki önünde ki en iyi seçeneğin bu gün , bu saatte , bu yerden , bilet alınan yere yapılacak bu yolculuk olduğuna inanmıştı inanmış tı .",Herkes,inanmış,1,24,7,8,0.8643761277198792
"Ancak , seçtiği yüksek rütbeli subaylar ordu içinde destek bulamayınca başarılı olamadı .",subaylar,başarılı,6,11,0,1,0.24683551490306854
"- Çünkü onlar , senin gibi gelip beni ziyaret etmediler .",onlar,ziyaret,3,9,7,3,0.19567342102527618
Etkinlik kapsamında Anma ve Saygı Geceleri de yer alıyor .,Geceleri,yer,6,8,6,10,0.7511662244796753
Önce Türkçe'de dinlenilen ve adına Türk müziği denilen şarkılara bakın .,müziği,bakın,10,13,0,4,0.12720590829849243
"Yemeğin onur konuğu Turgut Özal , masanın başında ayağa kalkıp , bir konuşma yaptı .",konuğu,yaptı,3,14,0,1,0.23086443543434143
""" Fakat konuklardan biri , Kemal Tahir'i susturarak , Kemal Tahir'i savunmaya kalktı .",biri,kalktı,5,19,5,11,0.269001841545105
İnönü yana çekildi ve biraz önce durduttuğu bölüğü yeniden harekete geçirdi :,İnönü,çekildi,1,3,4,0,0.6869441270828247
"Adam güldü , şu cevabı verdi .",Adam,güldü,1,2,4,9,0.999680757522583
8 şiddetindeki şiddetinde ki depremde 2385 kişi yaşamını yitirmişti yitirmiş ti .,kişi,yitirmiş,8,11,4,0,0.3596353530883789
Bu resimlerin niçin alındığını hâlâ anlamış değilim .,resimlerin,anlamış,2,6,1,8,0.40202754735946655
"Ben şimdi öder gelirim , dedi .",Ben,dedi,1,6,0,1,0.29532885551452637
"Shakespeare , bir insanın içinde , sevdiğinden kuşkulanmak için ekilecek kötü tohum bekleyen uğursuz bir toprak olduğunu anlatır bu piyesinde ; o tohumun nasıl büyüdüğünü , kıskançlığın her duygudan daha büyük ve daha geniş bir ağaç haline gelip bütün öbür duyguları gölgesiyle örtebildiğini gösterir .",Shakespeare,gösterir,1,51,5,6,0.2905941903591156
"Şaron'un şimdiden "" yol haritasına "" itirazları var .",itirazları,var,9,10,3,0,0.9988775849342346
"Milli takım teknik direktörü Şenol Güneş , İsveç ve Azerbaycan maçlarından sonra kendisini eleştiren Erman Toroğlu için "" Herhalde maçta değildi , "" dedi .",direktörü,dedi,4,24,0,0,0.2465694695711136
Ama o saniyeler de uzadıkça uzuyor .,saniyeler,uzuyor,3,6,5,8,0.345040500164032
Bazıları ona kızdı .,Bazıları,kızdı,1,3,4,0,0.7996388077735901
Kadın umursamaz bir tavır içinde onu izliyordu izliyor du ...,Kadın,izliyor,1,8,4,3,0.24974945187568665
"Bir yandan ev işi sevmeyip diğer yandan sosyal hayata bayılması , kadının kocası yeniçeriye birtakım ilhamlar verdi .",kocası,verdi,15,21,7,3,0.5657368302345276
Sizce de Haydar Dümen’in artık emekliye ayrılması gerekmiyor mu ?,Haydar,gerekmiyor,3,10,0,9,0.15757332742214203
Binlerce genç girip çıkıyordu çıkıyor du kapılardan .,genç,çıkıyor,2,5,4,0,0.40438878536224365
İlk yüksek tahsil merkezleri Avrupa'da çok daha sonraları ortaya çıktılar .,merkezleri,ortaya,4,11,7,8,0.8202738761901855
"Bu onları duyarlı , empatik ve merhametli yapar .",Bu,yapar,1,9,7,3,0.7194747924804688
2 . 2004 yılında meydana gelen tsunami hangi ülkeleri etkilemiştir etkilemiş tir ?,tsunami,etkilemiş,7,11,7,8,0.5472633242607117
"Yoksa benim aklıma bile gelmez öyle şeyler "" demez mi ?",şeyler,demez,7,9,3,6,0.47849300503730774
""" Allahım bu açığı kapatmalıyım , niye bu kitapların sayfasını açmamışım ben "" diye diye test çözüyor ...",ben,test,14,18,0,7,0.0962614044547081
"Bir insandan nefret etmek için , onun seni kırması , sana kötülük yapması gerekir değil mi ? Bana hiçbir şey yapmıyordu .",onun,gerekir,7,14,9,6,0.14273500442504883
"Türkiye Hemofili Derneği de bu kapsamda , 19 Nisan Pazartesi günü İş Sanat Kültür Merkezi'nde 14.00 - 19.00 saatleri arasında , bilimsel ve sosyal bir program düzenleyecek .",Derneği,düzenleyecek,4,34,4,3,0.26681599020957947
Barış daha 19 yaşındaymış yaşında ymış o zaman ...,Barış,yaşında,1,4,8,11,0.5847859382629395
"O günlere ait anılarından söz ederken ailenin bu gezginliğini ve çocukluğunda yer eden izleri şöyle anlatır , Bener .",izleri,anlatır,15,17,4,0,0.39243990182876587
"Fazlalaşmış akıl hastaları "" Avrupa'da nice İmparator ya da kralın kıvançsız , zafersiz ve yarınsız kırık tacı , bu sularda ağır ağır dibe inmişti inmiş ti .",hastaları,dibe,4,29,7,3,0.19077801704406738
"Ancak en son düşündüğüm şey onlar , önce buradan kurtulmalıyız .",şey,onlar,5,6,3,0,0.9991501569747925
Uzun Mehmet de bir parça aldı .,Uzun,aldı,1,6,3,9,0.26915761828422546
Bu dönemde İnan Kıraç da yine mezun olduğu Galatasaray Lisesi'nin yönetiminde yer alıyordu .,İnan,yer,3,14,0,10,0.09721706807613373
"Tersine , böyle bir anlayış , bütünüyle secular ( dünyevi ) bir anlam taşır .",anlayış,taşır,5,15,7,8,0.43427225947380066
Canın isterse .,Canın,isterse,1,2,4,9,0.9999169111251831
"Tutukluların birbirlerini şişlemeleri , uyuşturucu madde bağımlılığı , içeriye yasak maddelerin sokulmaya çalışılması gibi olaylar tamamen kontrolden çıkmıştı çıkmış tı .",olaylar,çıkmış,18,22,4,0,0.3369234502315521
"Geleceğimiz , şu bu değil , üniversite olmalı ...",Geleceğimiz,olmalı,1,8,9,2,0.4493703842163086
"Buna benzer yalan iddialardan birini de Erdal Sarızeybek , aynı metodla konuşup duruyor .",Erdal,konuşup,8,16,1,8,0.137455552816391
Güneş mavi kubbenin ortasında idi .,Güneş,ortasında,1,4,7,3,0.564727246761322
Düşen her damla büyük bir edayla suyun yüzeyindeki yüzeyinde ki yerini alıyordu .,damla,alıyordu,3,13,5,11,0.37524154782295227
- Takım arkadaşlarınla olan ilişkilerin nasıl ?,ilişkilerin,nasıl,5,6,3,0,0.9997476935386658
"Oysa "" Zeki""yi seven gerçek dostları bile iki elin parmak sayısını geçmiyordu geçmiyor du .",dostları,geçmiyor,8,14,5,11,0.4011624753475189
"Koca dağın demir damarı âdeta teslim olmuş , aleve karşı koyamıyordu koyamıyor du .",damarı,teslim,4,6,5,9,0.6379044055938721
"YAŞ toplantısının ardından Başbakanlığa gelen Ecevit , 130 milyar liraya mal olan asansörle 88 gün sonra makam odasına çıktı .",Ecevit,çıktı,6,20,5,11,0.20479142665863037
"İki taraf da sorunu masa başında çözmek istiyor "" dedi .",taraf,dedi,2,10,1,3,0.1912258416414261
Yemek çok tuz ... olmuş .,Yemek,olmuş,1,7,7,8,0.5224087834358215
"İşler ve satışlar iyi olmasına karşın , birdenbire bir nakit darboğazına girilmeye başlandı .",İşler,başlandı,1,16,1,8,0.13053616881370544
( Mesut Yeğen'in Devlet Söyleminde Kürt Sorunu isimli kitabı bu süreci tüm ayrıntılarıyla anlatır ) .,süreci,anlatır,14,17,6,10,0.569135844707489
Bu süreç buraya kadar Türkiye'de de benzer bir biçimde gelişti .,süreç,gelişti,2,12,7,8,0.47742852568626404
Her gece yatağa uzandığınızda aklınızda o acı kahvenin tadı vardır var dır .,tadı,var,11,13,5,9,0.4149901568889618
Eğer ses tonunuzu ya da cevap verme şeklinizi iyi ayarlayabilirseniz bu onda ciddi bir merak uyandıracaktır uyandıracak tır .,bu,uyandıracak,14,19,5,11,0.41748762130737305
Nifrit Deresi'nin sularıyla dolan Doğan Zeytinyağı Fabrikası'ndaki işçiler makinelerin üzerine çıkarak kurtuldu .,işçiler,kurtuldu,14,18,4,0,0.4920552968978882
"Yavaş yavaş umutsuzluğa düşerken kanatlarını oynattığında , kanatlarının gövdesine yapışmamış olduğunu anlayıp şaşırdı .",kanatlarının,şaşırdı,9,15,0,6,0.15797998011112213
"Elini beline götürdüğünde , karşısındakinin fark edeceğini bildiğinden çok dikkatli davranırdı davranır dı .",karşısındakinin,davranır,6,12,1,10,0.20863749086856842
Bunlar genel sorulardı sorular dı .,Bunlar,sorular,1,3,5,11,0.6062930226325989
"Her gün yeni bir devrim anlayışının üretildiği , bu yolda bilinmez ellerden çıkma kıyımlara tanık olduğumuz zamanımızda yetenekli genç oyuncuların provakosyana yenilmiş olabileceklerini düşünmeden edemiyorum .",anlayışının,edemiyorum,6,28,2,6,0.06919693201780319
Bizimkiler Bizim kiler Nasrettin Hocaya sormuşlar :,Bizim,sormuşlar,2,7,5,8,0.11710716038942337
"İnsanlar farkında bile olmadan , yaşamlarını sanal ortamda ve sanal insanlarla yaşamaya ve paylaşmaya başlarlar .",İnsanlar,başlarlar,1,15,3,9,0.5649824738502502
"Gösterişli yemek takımlarıyla süslü , pahalı ve lezzetli yiyeceklerle dolu bir büfe hazırlanmıştı hazırlanmış dı .",büfe,hazırlanmış,12,14,5,9,0.39545267820358276
19 Ocak'da dost burcunuz Oğlakta doğan Yeni Ay yeni biriyle tanışma veya aşk ilişkisine başlama şansı getiriyor .,Yeni,getiriyor,11,21,6,4,0.08442124724388123
"Örneğin , hasta sahipleri satın alınacak .",sahipleri,satın,4,5,4,9,0.9999010562896729
"Bol paraya kavuşup kendi detektiflik bürosunu açmayı hayal eden Miami'li adamımız , daha önce pek çok kez ifadesini aldığı adi hırsız Reggie'nin peşindedir peşinde dir yine .",adamımız,peşinde,15,30,10,8,0.10683798789978027
Hasan tam ocağın önündeydi önünde ydi ve ilk gürültüyü duydu .,Hasan,önünde,1,4,7,3,0.4695590138435364
Yengeç erkeği duygusallıkta size destek vereceği gibi kendiside kendisi de bir destek arar .,erkeği,arar,2,15,5,4,0.4979323148727417
Kova maneviyata önem veren bir insandır insan dır .,Kova,insan,1,8,5,4,0.5014371871948242
Onun bir birikimi var bende .,birikimi,var,3,4,3,0,0.9992584586143494
"Gözlerimden akan yaşlar babamın yanaklarına düşüyor , oradan kayıp gidiyordu gidiyor du .",yaşlar,düşüyor,4,8,4,0,0.7007838487625122
"24 Ocak'ta İstanbul'daki atletik testlerde başarısız olan ve MHK'yı üzen Metin Aydoğan , FIFA'nın seminerinde atletik testleri başarıyla tamamladı .",Metin,tamamladı,17,27,0,0,0.07277020812034607
Ne yol bitiyor ne yeşil ne de mavi .,yol,bitiyor,2,3,4,9,0.9997439980506897
Hele bizim gibi topluma örnek olması gereken futbolcuların eğitimli olmaları çok önem arz ediyor .,futbolcuların,arz,8,13,5,8,0.23728463053703308
"Hey , bizim de bir pop geçmişimiz var .",geçmişimiz,var,7,8,3,0,0.9996438026428223
"Çatlama zamanı geldiğinde , hastanın eşini de çağırıp sperm alırız .",zamanı,alırız,3,11,5,6,0.1979781985282898
"Petrol - İş Aliağa Şube Başkanı Mehmet Salih Aydın , "" AKP , ülkemizin en stratejik kurumlarını talan etmeye , yabancılara peşkeş çekmeye devam etmektedir "" diye konuştu .",Başkanı,konuştu,6,28,7,8,0.09130647033452988
"Geleneksel tekne yapım malzemesi olan ahşap , işleme kolaylığı , hafifliği , sağlamlığı , soğuğu ve sıcağı izole edebilmesi , diğer malzemelere oranla yorulmaya karşı mukavemeti , görüntüsü ve sıcaklığı nedeniyle tercih edilegelmiştir .",ahşap,tercih,6,33,8,11,0.4622584581375122
Bir kazan gerekti .,kazan,gerekti,2,3,4,9,0.9999680519104004
"Biz Bülend'le konuşacakmışız konuşacak mışız da , sırrı öğrenip Muslih Hoca'ya söyleyecekmiş söyleyecek miş .",Biz,söyleyecek,1,21,1,10,0.13612166047096252
Bütün bu deneyimli kişilerle sohbet önemliydi önemli ydi .,sohbet,önemli,5,7,4,0,0.5770218968391418
Stockholm'dan Hamburg'a iki tane gece treni kalkıyordu kalkıyor du .,treni,kalkıyor,10,11,4,9,0.9995682835578918
Böylece her zekâ hastalığına ilaç olacak birer reçete bulunabilir .,reçete,bulunabilir,8,9,3,0,0.9997770190238953
15 dakika sonra iki sekreter de çıktılar .,sekreter,çıktılar,5,7,5,9,0.48117369413375854
"Eczacıbaşı konuşmasında bu yıldan itibaren "" Eczacıbaşı Vitra Uluslararası Seramik Ödülü "" oluşturma kararı aldıklarını söyledi .",Eczacıbaşı,söyledi,1,17,7,3,0.4052389860153198
Yıldızlar da parlaktır parlak tır .,Yıldızlar,parlak,1,3,5,9,0.6277517676353455
"Mutfak montajı hakkında en ufak bir bilgisi yoktu yok tu , ama gözüne kestirdiği şeyin peşine düşerdi .",bilgisi,yok,7,9,8,11,0.5329550504684448
"TM Yönetim Kurulu Başkan Yardımcısı Tohsimi Onishi ve Murahhas Aza Akira Yokoi ile birlikte diğer yöneticiler , karşımıza oturdular .",Yardımcısı,oturdular,5,24,2,0,0.15528607368469238
Biz daha önce de goller yemiştik yemiş tik .,Biz,yemiş,1,6,5,11,0.2519528567790985
Tabii göründüğü gibi demliklerimizin dış kısmı simsiyah is .,kısmı,is,7,9,6,5,0.5026781558990479
Konya Selçuk Üniversitesi gibi Erzurum Atatürk Üniversitesi öğrencileri arasında da görüş birliği yok .,birliği,yok,12,13,4,9,0.9998937845230103
Ziyaretçilere bölgelere has yiyecek ve içeceklerden de ikram edildi .,yiyecek,ikram,5,9,3,3,0.14664679765701294
"Ne saçı , ne kirpiği , ne de canı kalmıştı kalmış tı annelerinin .",saçı,kalmış,2,12,5,8,0.29811379313468933
